Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,64.040001,64.379997,63.360001,64.099998,63.176338,463722
2018-01-03,64.279999,64.639999,63.939999,64.419998,63.491726,432078
2018-01-04,64.800003,65.220001,64.660004,64.959999,64.023949,420383
2018-01-05,64.839996,65.639999,64.839996,65.639999,64.694153,522626
2018-01-08,65.519997,65.800003,65.459999,65.559998,64.615303,459309
2018-01-09,65.400002,66.379997,65.379997,66.040001,65.088387,472658
2018-01-10,65.959999,66.199997,65.500000,65.680000,64.733574,476615
2018-01-11,65.620003,65.919998,65.400002,65.400002,64.457611,442627
2018-01-12,65.620003,66.000000,65.540001,65.839996,64.891266,405872
2018-01-15,65.839996,66.540001,65.839996,66.360001,65.403778,468739
2018-01-16,66.500000,66.540001,66.000000,66.040001,65.088387,398995
2018-01-17,66.019997,66.480003,66.000000,66.199997,65.246078,358599
2018-01-18,66.239998,66.480003,66.160004,66.480003,65.522049,335686
2018-01-19,66.400002,67.000000,66.379997,66.760002,65.798012,331667
2018-01-22,66.760002,66.940002,66.320000,66.519997,65.561462,401753
2018-01-23,66.760002,66.879997,66.379997,66.620003,65.660034,350825
2018-01-24,66.739998,66.779999,66.459999,66.519997,65.561462,421011
2018-01-25,66.540001,66.559998,65.519997,65.919998,64.970116,443873
2018-01-26,65.900002,66.400002,65.760002,66.099998,65.147522,351052
2018-01-29,66.080002,66.440002,65.860001,65.900002,64.950401,434277
2018-01-30,65.500000,66.260002,65.500000,65.959999,65.009537,575510
2018-01-31,65.959999,67.220001,65.879997,67.019997,66.054260,785329
2018-02-01,67.139999,67.440002,66.180000,66.419998,65.462906,570246
2018-02-02,66.320000,66.339996,65.279999,65.379997,64.437897,504705
2018-02-05,65.000000,65.080002,64.320000,64.339996,63.412880,556707
2018-02-06,62.980000,63.740002,62.500000,63.060001,62.151329,1026215
2018-02-07,63.840000,64.320000,62.759998,64.160004,63.235481,786924
2018-02-08,64.160004,64.160004,61.419998,61.599998,60.712364,887652
2018-02-09,61.500000,62.020000,60.599998,61.200001,60.318130,881399
2018-02-12,61.880001,62.160000,61.560001,61.560001,60.672943,489937
2018-02-13,61.560001,61.860001,61.080002,61.139999,60.258991,487279
2018-02-14,61.419998,61.880001,60.419998,61.599998,60.712364,706133
2018-02-15,61.980000,62.580002,61.779999,62.099998,61.205158,499223
2018-02-16,62.240002,62.959999,62.099998,62.880001,61.973923,494016
2018-02-19,62.919998,62.919998,62.119999,62.380001,61.481125,332490
2018-02-20,62.439999,63.660000,62.439999,63.500000,62.584988,557388
2018-02-21,63.380001,63.919998,62.680000,63.900002,62.979225,592731
2018-02-22,63.380001,64.099998,62.799999,63.939999,63.018646,607730
2018-02-23,64.260002,64.400002,63.720001,64.400002,63.472019,520651
2018-02-26,64.500000,64.900002,64.400002,64.879997,63.945099,467524
2018-02-27,64.940002,64.980003,64.320000,64.879997,63.945099,411486
2018-02-28,64.000000,64.800003,63.599998,64.540001,63.610001,786426
2018-03-01,64.300003,64.480003,63.160000,63.439999,62.525848,755873
2018-03-02,63.000000,63.040001,61.419998,61.759998,60.870056,634113
2018-03-05,61.700001,62.900002,61.560001,62.740002,61.835941,633456
2018-03-06,63.180000,63.240002,62.680000,62.680000,61.776802,459679
2018-03-07,61.939999,63.180000,61.900002,63.000000,62.092190,644126
2018-03-08,62.860001,63.820000,62.860001,63.740002,62.821529,604407
2018-03-09,63.799999,64.139999,63.599998,63.860001,62.939800,434493
2018-03-12,64.199997,64.459999,63.900002,64.379997,63.452305,515571
2018-03-13,64.500000,64.800003,63.759998,64.139999,63.215763,518768
2018-03-14,64.139999,64.739998,63.820000,64.120003,63.196056,449517
2018-03-15,64.540001,64.699997,63.939999,64.440002,63.511444,358161
2018-03-16,64.239998,64.639999,64.019997,64.459999,63.531151,764913
2018-03-19,64.180000,64.760002,63.759998,64.580002,63.649426,466536
2018-03-20,64.660004,65.019997,64.199997,64.919998,63.984524,356767
2018-03-21,64.839996,64.959999,64.260002,64.500000,63.570576,375402
2018-03-22,64.199997,64.519997,62.880001,63.639999,62.722969,506743
2018-03-23,62.959999,63.099998,62.240002,62.779999,61.875359,504188
2018-03-26,63.020000,63.160000,62.020000,62.299999,61.402279,424767
